"ID","female","od1atrct","od1sincr","od1intel","od1funny","od1ambit","od1shrd","od1wlthy","od1court","sd1atrct","sd1sincr","sd1intel","sd1funny","sd1ambit","sd1shrd","sd1wlthy","sd1court"
101,"male",10,15,20,25,0,15,0,15,25,15,20,10,0,20,0,10
102,"male",30,10,10,20,5,10,10,5,20,20,20,15,10,10,0,5
103,"male",30,10,10,30,20,0,0,0,30,10,20,10,0,30,0,0
104,"male",20,20,10,20,10,10,0,10,20,5,30,30,0,15,0,0
105,"male",10,30,20,0,0,10,20,10,30,20,20,0,10,10,0,10
106,"male",15,5,5,5,5,15,35,15,40,25,20,5,3,4,0,3
107,"male",50,5,5,5,5,5,20,5,20,10,20,20,10,10,10,10
108,"male",40,10,5,5,5,5,15,15,50,10,10,5,5,5,5,10
109,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"male",25,25,25,5,5,10,0,5,25,25,25,5,5,10,0,5
111,"male",20,10,0,20,10,10,10,20,20,20,20,20,0,10,0,10
112,"male",10,0,0,0,30,10,50,0,20,30,20,5,0,20,0,5
113,"male",15,10,20,20,10,10,7.5,7.5,34,7.5,34,17,0,7.5,0,0
114,"male",60,2,1,1,0,30,5,1,60,5,10,1,1,20,0,3
115,"male",30,15,10,10,5,15,5,10,60,10,5,10,0,10,0,5
116,"male",20,10,10,30,0,5,25,0,30,10,20,10,15,10,0,5
117,"male",10,20,15,15,10,15,5,10,15,30,10,15,0,10,0,20
118,"male",50,0,0,30,10,0,10,0,30,20,15,20,0,10,0,5
119,"male",20,15,20,5,10,20,5,5,20,10,20,5,10,20,5,10
121,"female",13,13,12,13,12,13,12,12,12,13,13,13,12,13,11,13
122,"female",17,15,11,13,10,17,5,12,14,15,17,10,10,15,5,14
123,"female",3,10,10,10,10,10,10,10,11,15,30,20,8,6,6,4
124,"female",30,15,10,10,5,15,5,10,25,25,15,15,2,6,2,10
125,"female",20,20,15,10,5,15,5,10,12.5,12.5,15,15,12.5,10,12.5,10
126,"female",30,0,5,20,5,20,15,5,5,15,20,10,10,20,5,15
127,"female",50,5,5,15,5,10,5,5,10,15,3,25,4,25,3,15
